x, y, Target
0 , 1 , 0.33
1 , 2 , 2.33
2 , 3 , 6.33
3 , 4 , 12.33
4 , 5 , 20.33
-1 , 1 , 0.67
0 , 2 , 2.67
1 , 3 , 8.67
2 , 4 , 18.67
3 , 5 , 32.67
0 , 3.141592653589793 , 2.0
1 , 4.141592653589793 , 1.08
2 , 5.141592653589793 , -0.83
3 , 6.141592653589793 , -1.98
4 , 7.141592653589793 , -1.31
0 , 1 , 1.72
1 , 2 , 4.67
2 , 3 , 12.7
3 , 4 , 34.51
4 , 5 , 93.82
0 , 2 , 8.0
1 , 3 , 26.0
2 , 4 , 56.0
3 , 5 , 98.0
4 , 6 , 152.0
-1 , 1 , 0.4
0 , 2 , 6.4
1 , 3 , 48.4
2 , 4 , 198.41
3 , 5 , 576.41
0 , 3.141592653589793 , -0.0
1 , 4.141592653589793 , -1.68
2 , 5.141592653589793 , -1.82
3 , 6.141592653589793 , -0.28
4 , 7.141592653589793 , 1.51
